City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Rikitea,PF,71.65,-23.12,-134.97,Pension Maro'i
1,Busselton,AU,45.0,-33.65,115.33,Observatory Guest House
4,Mataura,NZ,43.68,-46.19,168.86,Ellie's Villa
5,Kodiak,US,57.2,57.79,-152.41,Best Western Kodiak Inn and Convention Center
6,Carnarvon,AU,62.6,-24.87,113.63,Hospitality Carnarvon
8,Vaini,TO,73.4,-21.2,-175.2,Keleti Beach Resort
9,Barrow,US,42.8,71.29,-156.79,King Eider Inn
10,Gisborne,NZ,48.99,-38.65,178.0,ASURE Alfresco Motor Lodge
11,Punta Arenas,CL,35.6,-53.15,-70.92,Hotel Dreams Del Estrecho
13,Jamestown,US,72.0,42.1,-79.24,Hampton Inn & Suites Jamestown
14,New Norfolk,AU,41.0,-42.78,147.06,The Shingles Riverside Cottages
16,Broome,US,73.0,42.25,-75.83,Chenango Valley State Park
17,Ushuaia,AR,35.6,-54.8,-68.3,Albatros Hotel
18,Tuktoyaktuk,CA,50.0,69.45,-133.04,End of The Road Ltd.
23,Portland,US,71.01,45.52,-122.68,Portland Marriott City Center
24,Esperance,AU,50.0,-33.87,121.9,Hospitality Esperance
26,Nikolskoye,RU,68.0,59.7,30.79,Tourist House - Sablino
27,Hilo,US,71.6,19.73,-155.09,Hilo Hawaiian Hotel
28,Bluff,NZ,47.08,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
29,Kiunga,PG,71.53,-6.12,141.29,Airport Lodge Kiunga
31,Upernavik,GL,50.07,72.79,-56.15,Gina's Guesthouse - Upernavik
32,Hobart,AU,42.8,-42.88,147.33,St Ives Apartments
34,Sioux Lookout,CA,60.8,50.1,-91.92,Knobby's Fly-In Camps
35,Turukhansk,RU,59.5,65.82,87.98,"ООО ""Туруханская пушнина"""
37,Ilulissat,GL,53.6,69.22,-51.1,Hotel Arctic
38,Saint-Philippe,RE,71.6,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
40,Severo-Kurilsk,RU,50.09,50.68,156.12,Kak Doma
41,Mahebourg,MU,71.6,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
44,Yanji,CN,73.0,42.91,129.51,Holiday Inn Changbaishan Suites
45,Flinders,AU,59.0,-34.58,150.86,Shellharbour Resort & Conference Centre
49,Cherskiy,RU,39.69,68.75,161.3,Gostinitsa
50,Kaitangata,NZ,48.0,-46.28,169.85,Kaitangata Motor Camp
52,Marawi,PH,73.0,8.0,124.29,Salihmaruhom
54,Torbay,CA,62.01,47.67,-52.73,Gallows Cove
57,Brae,GB,60.8,60.4,-1.35,Busta House Hotel
58,Qaanaaq,GL,42.85,77.48,-69.36,Qaanaaq Hotel
60,Cidreira,BR,66.0,-30.18,-50.21,Hotel Castelo
62,Pevek,RU,39.6,69.7,170.31,Severnoye Zoloto
63,Hwange,ZW,73.8,-18.37,26.5,Hwange Colliery Guest House
